URL,question,selected_subquestion,complete_question,ticker,market_price,volume,resolution_date,days_remaining,gemini_probability,opus_probability,opus_2_probability,median_probability,data_retrieved_at
https://kalshi.com/markets/kxfedchairnom/,Who will Trump nominate as Fed Chair?,Judy Shelton,Who will Trump nominate as Fed Chair? [Subquestion: Judy Shelton],KXFEDCHAIRNOM-29-JS,5,98492528,2029-01-20,1059,5,4,3,4,2026-02-26 16:09:10
https://kalshi.com/markets/kxfedchairnom/,Who will Trump nominate as Fed Chair?,Kevin Warsh,Who will Trump nominate as Fed Chair? [Subquestion: Kevin Warsh],KXFEDCHAIRNOM-29-KW,94,35428740,2029-01-20,1059,97,97,97,97,2026-02-26 16:09:10
https://kalshi.com/markets/kxpresnomd/,2028 Democratic nominee for President?,Gavin Newsom,2028 Democratic nominee for President? [Subquestion: Gavin Newsom],KXPRESNOMD-28-GN,27,3873360,2028-11-07 (Market End Date) / August 2028 (Estimated Convention Date),894,23,27,27,27,2026-02-26 16:09:10
https://kalshi.com/markets/kxpresnomd/,2028 Democratic nominee for President?,Stephen A. Smith,2028 Democratic nominee for President? [Subquestion: Stephen A. Smith],KXPRESNOMD-28-SAS,3,3723054,2028-11-07,985,1,3,3,3,2026-02-26 16:09:10
https://kalshi.com/markets/kxkhameneiout/,Ali Khamenei out as Supreme Leader?,"Before April 1, 2026","Ali Khamenei out as Supreme Leader? [Subquestion: Before April 1, 2026]",KXKHAMENEIOUT-AKHA-26APR01,21,5887455,2026-04-01,34,20,19,19,19,2026-02-26 16:09:10
https://kalshi.com/markets/kxkhameneiout/,Ali Khamenei out as Supreme Leader?,"Before July 1, 2026","Ali Khamenei out as Supreme Leader? [Subquestion: Before July 1, 2026]",KXKHAMENEIOUT-AKHA-26JUL01,39,1713770,2026-07-01,124,32,32,35,32,2026-02-26 16:09:10
https://kalshi.com/markets/kxpresnomr/,2028 Republican nominee for President?,Marco Rubio,2028 Republican nominee for President? [Subquestion: Marco Rubio],KXPRESNOMR-28-MR,20,1894565,2028-11-07,986,13,15,15,15,2026-02-26 16:09:10
https://kalshi.com/markets/kxpresnomr/,2028 Republican nominee for President?,J.D. Vance,2028 Republican nominee for President? [Subquestion: J.D. Vance],KXPRESNOMR-28-JDV,45,1645180,2028-11-07 (per market end date); though the outcome is typically determined during the Republican National Convention in Summer 2028.,985,56,55,55,55,2026-02-26 16:09:10
https://kalshi.com/markets/kxpresperson/,2028 U.S. Presidential Election winner?,Gavin Newsom,2028 U.S. Presidential Election winner? [Subquestion: Gavin Newsom],KXPRESPERSON-28-GNEWS,18,1510700,2029-01-20,1059,18,16,17,17,2026-02-26 16:09:10
https://kalshi.com/markets/kxpresperson/,2028 U.S. Presidential Election winner?,Marco Rubio,2028 U.S. Presidential Election winner? [Subquestion: Marco Rubio],KXPRESPERSON-28-MRUB,9,1447212,2029-01-20,1058,7,8,7,7,2026-02-26 16:09:10
https://kalshi.com/markets/kxfeddecision/,Fed decision in Mar 2026?,Cut 25bps,Fed decision in Mar 2026? [Subquestion: Cut 25bps],KXFEDDECISION-26MAR-C25,4,5260309,2026-03-18,20,5,5,5,5,2026-02-26 16:09:10
https://kalshi.com/markets/kxfeddecision/,Fed decision in Mar 2026?,Fed maintains rate,Fed decision in Mar 2026? [Subquestion: Fed maintains rate],KXFEDDECISION-26MAR-H0,96,4710246,2026-03-18,20,95,96,95,95,2026-02-26 16:09:10
https://kalshi.com/markets/kxoscarpic/,Oscar for Best Picture?,Hamnet,Oscar for Best Picture? [Subquestion: Hamnet],KXOSCARPIC-26-HAM,5,1957480,2026-03-15,17,4,5,5,5,2026-02-26 16:09:10
https://kalshi.com/markets/kxaliens/,Will the U.S. confirm that aliens exist before 2027?,N/A - single market,Will the U.S. confirm that aliens exist before 2027?,KXALIENS-27,23,9544026,2027-01-01,309,14,8,7,8,2026-02-26 16:09:10
https://kalshi.com/markets/kxleavepowell/,Powell out as Chair?,N/A - single market,Powell out as Chair?,LEAVEPOWELL-25-26APR30,3,1006572,2026-04-30,63,4,4,4,4,2026-02-26 16:09:10
